,venue,address,latitude,longitude
0,Project Pollo,"1401 Rosewood Ave A-1, Austin, TX 78702, USA",30.2687694,-97.7240819
1,Starbucks,"300 E 4th St, Austin, TX 78701, USA",30.2655533,-97.7402274
2,Starbucks,"1001 Congress Ave  Austin, TX 78701, USA",30.2718468,-97.74096999999999
3,Starbucks,"600 Congress Ave Ste. G-270, Austin, TX 78701, USA",30.2682718,-97.7429432
4,Starbucks,"110 E 2nd St, Austin, TX 78701, USA",30.2645713,-97.74319799999999
5,Truluck's,"400 Colorado St, Austin, TX 78701, USA",30.2668844,-97.7449805
6,Starbucks,"301 W 3rd St, Austin, TX 78701, USA",30.2657981,-97.7465297
7,Drinks Lounge,"2001 E Cesar Chavez St, Austin, TX 78702, USA",30.2564101,-97.7232758
8,Starbucks,"501 W 15th St, Austin, TX 78701, USA",30.2779791,-97.7444288
9,Testing Center at The University of Texas at Austin,"SZB, Speedway, Austin, TX 78712, USA",30.2816544,-97.7387608
10,Starbucks,"208 Barton Springs Rd, Austin, TX 78704, USA",30.2609161,-97.7474421
11,The Grove Wine Bar & Kitchen,"800 W 6th St  Austin, TX 78701, USA",30.2708146,-97.7506641
12,Lola Savannah Coffee Downtown,"800 W 6th St  Austin, TX 78701, USA",30.2708146,-97.7506641
13,Starbucks,"2021 Guadalupe St, Austin, TX 78705, USA",30.2832126,-97.74175179999999
14,Nom Burgers,"2324 E Cesar Chavez St, Austin, TX 78702, USA",30.2550902,-97.7182267
15,The Vegan Nom,"2324 E Cesar Chavez St, Austin, TX 78702, USA",30.2550902,-97.7182267
16,Starbucks,"907 W 5th St  Austin, TX 78703, USA",30.269586,-97.75380860000001
17,Haymaker,"2310 Manor Rd, Austin, TX 78722, USA",30.2848488,-97.717612
18,Plucker's Wing Bar,"2222 Rio Grande St Ste D116, Austin, TX 78705, USA",30.2862926,-97.7450435
19,Starbucks,"504 W 24th St Suite B, Austin, TX 78705, USA",30.2879367,-97.74264629999999
20,Bird Bird Biscuit,"2701 Manor Rd, Austin, TX 78722, USA",30.2847954,-97.7139637
21,Moody's Kitchen and Bar,"2530 Guadalupe St, Austin, TX 78705, USA",30.2899014,-97.7416066
22,Starbucks,"1200 Barton Springs Rd, Austin, TX 78704, USA",30.2612354,-97.75792589999999
23,Starbucks,"1920 E Riverside Dr  Austin, TX 78741, USA",30.242302,-97.728274
24,Mission Street Burrito,"1505 Town Creek Dr, Austin, TX 78741, USA",30.2416861,-97.72683970000001
25,Starbucks,"1509 S Lamar Blvd  Austin, TX 78704, USA",30.25193,-97.76378389999999
26,Burger King,"2500 E Riverside Dr, Austin, TX 78741, USA",30.2353831,-97.7235728
27,Starbucks,"3706 Guadalupe St A, Austin, TX 78705, USA",30.3025965,-97.7385724
28,Starbucks,"516 W Oltorf St, Austin, TX 78704, USA",30.24220699999999,-97.75892340000001
29,Winebelly,"519 W Oltorf St, Austin, TX 78704, USA",30.2413562,-97.7589601
30,Starbucks,"2300 S IH 35 Frontage Rd South, Austin, TX 78704, USA",30.2336587,-97.74239709999999
31,Starbucks,"1500 W 35th St, Austin, TX 78703, USA",30.3065873,-97.74905489999999
32,Jamba,"1201 Barbara Jordan Blvd Ste.. 1295, Austin, TX 78722, USA",30.3066396,-97.709552
33,Starbucks,"1201 Barbara Jordan Blvd  Austin, TX 78723, USA",30.3066396,-97.709552
