,venue,address,latitude,longitude
0,Greater Goods RoastingEast 5th,"2501 E 5th St, Austin, TX 78702",30.2576832,-97.71498179999999
1,Fleet Coffee,"2427 Webberville Rd, Austin, TX 78702",30.2627612,-97.714359
2,Lou's Bodega,"1900 E Cesar Chavez St, Austin, TX 78702",30.2572433,-97.7243365
3,Flat Track Coffee,"1619 E Cesar Chavez St, Austin, TX 78702",30.2577025,-97.7271792
4,Royal Blue #6 E. 6th,"1629 E 6th St, Austin, TX 78702",30.2624811,-97.72520039999999
5,Cenote,"1010 E Cesar Chavez St, Austin, TX 78702",30.2605439,-97.7336712
6,Brew & Brew,"500 San Marcos St, Austin, TX 78702",30.264584,-97.73314069999999
7,Creature Coffee,"807 E 4th St, Austin, TX 78702",30.2635083,-97.7346683
8,Royal Blue #5 On Rainey Street Caffe Medici 8c,"51 Rainey St, Austin, TX 78701",30.2572454,-97.73908159999999
9,Little Brother Bar,"89 Rainey St, Austin, TX 78701",30.259835,-97.738067
10,Alta's Cafe,"74 Trinity St, Austin, TX 78701",30.2605631,-97.74176279999999
11,Henbit,"111 Congress Ave, Austin, TX 78701",30.263536,-97.7435761
12,The Line Hotel,"111 E Cesar Chavez St, Austin, TX 78701",30.2626651,-97.74362239999999
13,Houndstooth (mlk),"2823 E Martin Luther King Jr Blvd, Austin, TX 78702",30.2808681,-97.7099338
14,Forthright Cafe,"35 Brazos St, Austin, TX 78701",30.2624404,-97.7430509
15,Squeezery,"612 Brazos St, Austin, TX 78701",30.2684949,-97.7416066
16,Caffe Medici,"200 Congress Ave, Austin, TX 78701",30.2648019,-97.7445985
17,Royal Blue #3 On Congress Intelligentsia Coffee Inc,"609 Congress Ave, Austin, TX 78701",30.2683203,-97.7422856
18,Caffe Medici,"804 Congress Ave, Austin, TX 78701",30.2703124,-97.74240479999999
19,Bistro At Lark & Ow,"205 W 6th St, Austin, TX 78701",30.2681104,-97.74436829999999
20,Royal Blue #1 On 3rd St,"241 W 3rd St, Austin, TX 78701",30.265616,-97.74591389999999
21,South Bites Coffee Bar,"1400 Lavaca St, Austin, TX 78701",30.2770943,-97.7427312
22,Royal Blue #2 On Nueces,"360 Nueces St, Austin, TX 78701",30.2673094,-97.74990369999999
23,Juan Pelota Cafe,"400 Nueces St, Austin, TX 78701",30.2681085,-97.7492671
24,Intelligentsia Coffee Inc,"607 W 3rd St, Austin, TX 78701",30.2667619,-97.7500735
25,Manana,"1603 S Congress Ave, Austin, TX 78704",30.2473651,-97.7501159
26,Tiny House Coffee Roasters,"801 Barton Springs Rd, Austin, TX 78704",30.25890739999999,-97.7526201
27,Allegro Coffee Co. - Global Coffee Mart,"550 Bowie St, Austin, TX 78703",30.2706347,-97.7528921
28,Idlewild,"812 W 12th St, Austin, TX 78701",30.2763772,-97.7489806
29,Caffe Medici,"2222b Guadalupe St, Austin, TX 78705",30.2855121,-97.7421392
30,Caffe Medici Guadalupe,"2222 Guadalupe St, Austin, TX 78705",30.2855366,-97.7420028
31,Whole Foods Market,"525 N Lamar Blvd, Austin, TX 78703",30.2705496,-97.7531762
32,2018 Sweetish Hill Bakery Llc,"1120 W 6th St, Austin, TX 78703",30.2726065,-97.7564383
33,Bouldin Creek Coffeehouse,"1900 S 1st St, Austin, TX 78704",30.2464987,-97.756801
34,Carpenter Hotel,"400 Josephine St, Austin, TX 78704",30.26224029999999,-97.75874999999999
35,Caffe Medici,"1100 S Lamar Blvd, Austin, TX 78704",30.2556904,-97.7630622
36,Juice Society,"1116 S Lamar Blvd, Austin, TX 78704",30.2551972,-97.76227229999999
37,Whichcraft,"1900 Simond Ave, Austin, TX 78723",30.2972128,-97.7041709
38,Caffe Medici,"1101 W Lynn St, Austin, TX 78703",30.2795199,-97.75942219999999
39,Rebel Cheese,"2200 Aldrich St, Austin, TX 78723",30.3010368,-97.7035713
40,Cosmic Coffee + Beer Garden,"121 Pickle Rd, Austin, TX 78704",30.2267619,-97.7625316
41,Spokesman,"440 E Saint Elmo Rd, Austin, TX 78745",30.216661,-97.7617463
42,Natural Grocers By Vitamin Cottage,"4615 N Lamar Blvd, Austin, TX 78751",30.3154649,-97.73462049999999
43,Common Grounds (woodway) Cenote #2 (cameron Rd),"6214 Cameron Rd, Austin, TX 78723",30.3204538,-97.6969972
44,Radio Coffee & Beer,"4204 Manchaca Rd, Austin, TX 78704",30.2315357,-97.78775170000002
45,Delaware North (medici Cafe'),"3600 Presidential Blvd, Austin, TX 78719",30.2049088,-97.6671315
46,Dia's Market,"812 Justin Ln, Austin, TX 78757",30.3374065,-97.72039079999999
47,Fat Cats,"7020 Easy Wind Dr, Austin, TX 78752",30.3384951,-97.71877529999999
48,Bougie's Donuts,"5400 Brodie Ln, Austin, TX 78745",30.2296693,-97.8224335
