,venue,address,latitude,longitude,neighborhood,category
0,McDonald's,13749 N Highway 183,30.459677180784187,-97.7923897607343,ANDERSON MILL,Fast Food Restaurant
1,P. Terry's Burger Stand,13770 N Highway 183,30.461215000292796,-97.79530438820866,ANDERSON MILL,Burger Joint
2,Pluckers Wing Bar,11066 Pecan Park Blvd Ste G,30.4684692,-97.8035405,AVERY RANCH--LAKELINE,Wings Joint
3,The Halal Gurus,13729 US-183 suite 890,30.458305,-97.79193,ANDERSON MILL,Middle Eastern Restaurant
4,Texas Roadhouse,"13435 N. US 183 SVRD NB, Bldg. 7",30.447093,-97.788729,ANDERSON MILL,Steakhouse
5,Kerbey Lane Cafe,13435 N Highway 183,30.447005,-97.788702,ANDERSON MILL,Café
6,Thundercloud Subs,13776 U.S. 183,30.46162856,-97.7956513,ANDERSON MILL,Sandwich Place
7,Olive Garden,12827 Ranch Road 620 N,30.466001736750666,-97.80211322666295,ANDERSON MILL,Italian Restaurant
8,Big City Bagels & Subs,,30.446662,-97.806621,ANDERSON MILL,Bagel Shop
9,Chili's Grill & Bar,11012 Pecan Park Boulevard,30.46740481,-97.80385875,AVERY RANCH--LAKELINE,Tex-Mex Restaurant
10,Auntie Anne's,11200 Lakeline Mall Dr Spc OJ09,30.469973631868655,-97.80720310519791,AVERY RANCH--LAKELINE,Snack Place
11,Cheddars,13301 N Highway 183 #B,30.445990607362948,-97.78778082421087,ANDERSON MILL,American Restaurant
12,Panda Express Lakeline Mall,11200 Lakeline Mall Dr,30.47054355853244,-97.80698893037788,AVERY RANCH--LAKELINE,Chinese Restaurant
13,McDonald's,12801 Ranch Road 620 N,30.465482563737247,-97.80317634344101,ANDERSON MILL,Fast Food Restaurant
14,La Tapatia,13450 N Highway 183,30.4471163,-97.7908036,ANDERSON MILL,Taco Place
15,Burger King,13450 Highway 183 North,30.4478177,-97.7910971,ANDERSON MILL,Fast Food Restaurant
16,Lakeline Mall Food Court,11200 Lakeline Mall Dr,30.4705425276649,-97.80700697556819,AVERY RANCH--LAKELINE,Food Court
17,Interstellar Bbq,12233 Ranch Road 620 N Ste 150,30.461178,-97.81493,ANDERSON MILL,BBQ Joint
18,Vazquez Tacos,13729 US 183,30.45855038883792,-97.79216874382517,ANDERSON MILL,Mexican Restaurant
19,Wendy’s,10203 Lake Creek Pkwy,30.461563778528248,-97.79218950192444,ANDERSON MILL,Fast Food Restaurant
20,Bush's Chicken,12332 Ranch Road 620 N,30.463914542142078,-97.81205481216462,ANDERSON MILL,Fried Chicken Joint
21,Mod Pizza,11521 North Farm Market 620,30.45282861,-97.82628825,ANDERSON MILL,Pizza Place
22,Reale's Pizza & Cafe,13450 N Highway 183,30.44658739368826,-97.79101395144207,ANDERSON MILL,Pizza Place
23,Texican Cafe,11066 Pecan Park Blvd,30.47102160526068,-97.80125866732658,AVERY RANCH--LAKELINE,Mexican Restaurant
24,Cabo Bob’s,13429 N Highway 183 Ste 100,30.447433,-97.789131,ANDERSON MILL,Taco Place
25,Moonie's Burger House - Anderson Mill,13450 Research Blvd,30.44785113291792,-97.7922895273434,ANDERSON MILL,Burger Joint
26,Schlotzsky's,13201 Ranch Road 620 N,30.46839007441341,-97.79439675113493,AVERY RANCH--LAKELINE,Restaurant
27,Tarka Indian Kitchen,11066 Pecan Park Blvd,30.470155872449226,-97.80080860146573,AVERY RANCH--LAKELINE,Indian Restaurant
28,Lone Star Kolaches,13764 N Highway 183,30.460663662328468,-97.79471770584945,ANDERSON MILL,Breakfast Spot
29,IHOP,"13201 Ranch Rd 620 N, Bldg Q",30.467690773946302,-97.79530805755779,AVERY RANCH--LAKELINE,Breakfast Spot
30,McDonald's,5355 N Interregional Hwy,30.31323,-97.707413,WINDSOR PARK,Fast Food Restaurant
31,5610 Food Co,"5610 N I-35 Service Rd, Austin, TX 78751, United States",30.316143,-97.708403,NORTH LOOP,Food Court
32,Whataburger,6106 Cameron Rd,30.319230655633515,-97.69820635020324,WINDSOR PARK,Burger Joint
33,P. Terry's Burger Stand,5701 N IH 35,30.317315765440842,-97.70688362645078,WINDSOR PARK,Burger Joint
34,Torchy's Tacos,1801 E 51st St Bldg D,30.303292,-97.6988397,RMMA,Taco Place
35,Popeyes Louisiana Kitchen,5630 Cameron Rd,30.31452536995113,-97.70358365757991,WINDSOR PARK,Fried Chicken Joint
36,Sonic Drive-In,6208 Cameron Rd,30.3201911,-97.6972101,WINDSOR PARK,Fast Food Restaurant
37,Taco Bell,5604 Cameron Rd,30.31415553514502,-97.70395081676764,WINDSOR PARK,Fast Food Restaurant
38,Church's Chicken,5339 Cameron Rd,30.31141698731254,-97.7066031912234,WINDSOR PARK,Fried Chicken Joint
39,Hank’s,5811 Berkman Dr,30.312589063509837,-97.69292663872693,WINDSOR PARK,Restaurant
40,Kerbey Lane Cafe,2200 Aldrich St Ste 100,30.3010368,-97.7035713,RMMA,Breakfast Spot
41,Buffet King,5451 North IH 35,30.315279,-97.707292,WINDSOR PARK,American Restaurant
42,Amaya's Taco Village,5804 N Interstate 35,30.319260926962304,-97.70806047039969,NORTH LOOP,Mexican Restaurant
43,Pokeatery,1201 Barbara Jordan Blvd Ste 1410,30.305647521911208,-97.70818422221839,RMMA,Hawaiian Restaurant
44,Thundercloud Subs,6501 W Highway 290,30.3215764034385,-97.70530320911728,WINDSOR PARK,Sandwich Place
45,Cenote Cameron,6214 Cameron Rd,30.32038451282098,-97.69674165845235,WINDSOR PARK,Café
46,Chi'lantro,1201 Barbara Jordan Blvd #1460,30.305347,-97.708244,RMMA,Korean Restaurant
47,Rebel Cheese,2200 Aldrich St Ste 120,30.301426,-97.703186,RMMA,Vegetarian / Vegan Restaurant
48,B.D. Riley's Irish Pub at Mueller,1905 Aldrich St.,30.298152656908346,-97.70512148737907,RMMA,Irish Pub
49,Chipotle Mexican Grill,1201 Barbara Jordan Blvd Ste 1300,30.305612013317596,-97.70798119297666,RMMA,Mexican Restaurant
50,Hill-Bert's Burgers,5340 Cameron Rd,30.31199975059126,-97.70682906951036,WINDSOR PARK,Burger Joint
51,Xian Sushi & Noodle,1801 E 51st St #C370,30.30284128293787,-97.69908232723816,RMMA,Noodle House
52,The Kebab Shop,1201 Barbara Jordan Blvd #200,30.3057763,-97.7097641,RMMA,Modern European Restaurant
53,Taqueria Mi Trailita,5301 Manor Rd,30.30029500192563,-97.68569297068385,PECAN SPRINGS-SPRINGDALE,Food Truck
54,Paco's Tacos,1304 E 51st St,30.307455206659316,-97.70580926394908,WINDSOR PARK,Taco Place
55,Colleen's Kitchen,1911 Aldrich St Ste 100,30.298371458367573,-97.70484738925455,RMMA,American Restaurant
56,A&W / Long John Silver's,Capital Plaza,30.313831113767947,-97.70445211878894,WINDSOR PARK,Fast Food Restaurant
57,Café Mueller by H-E-B,1801 E 51st St,30.3011594,-97.6990618,RMMA,Restaurant
